example-dnc-recall	42	pass	1m36s	epochs=15700	acc=0.7794444444444445	seq_acc=0.23	seed=42
example-dnc-recall	1	pass	1m35s	epochs=16100	acc=0.8511111111111112	seq_acc=0.41	seed=1
example-dnc-recall	2	pass	1m38s	epochs=15800	acc=0.83	seq_acc=0.38	seed=2
example-dnc-recall	3	pass	1m42s	epochs=17700	acc=0.8122222222222222	seq_acc=0.29	seed=3
example-dnc-recall	4	pass	1m25s	epochs=15200	acc=0.7438888888888889	seq_acc=0.19	seed=4
example-ntm-copy	42	pass	47s	epochs=6700	acc=0.9901838966202783	seq_acc=0.98	seed=42
example-ntm-copy	1	pass	57s	epochs=7800	acc=0.9955571565802114	seq_acc=0.99	seed=1
example-ntm-copy	2	fail	1m9s	epochs=10000	acc=0.663417951042611	seq_acc=0.07	seed=2
example-ntm-copy	3	fail	1m10s	epochs=10000	acc=0.6843657817109144	seq_acc=0.08	seed=3
example-ntm-copy	4	fail	1m11s	epochs=10000	acc=0.6842629482071713	seq_acc=0.14	seed=4
